{'EPISODE END | Balance: 214.34| Max DD: 0.144| Trades: 228| Wins: 48| Losses: 66| Effectiveness (winrate): 42.11%'}
{'EPISODE END | Balance: 269.08| Max DD: 0.093| Trades: 302| Wins: 65| Losses: 86| Effectiveness (winrate): 43.05%'}
{'EPISODE END | Balance: 210.18| Max DD: 0.219| Trades: 234| Wins: 51| Losses: 66| Effectiveness (winrate): 43.59%'}
{'EPISODE END | Balance: 166.38| Max DD: 0.248| Trades: 220| Wins: 44| Losses: 66| Effectiveness (winrate): 40.00%'}
{'EPISODE END | Balance: 259.82| Max DD: 0.184| Trades: 300| Wins: 66| Losses: 84| Effectiveness (winrate): 44.00%'}
{'EPISODE END | Balance: 269.70| Max DD: 0.182| Trades: 392| Wins: 95| Losses: 101| Effectiveness (winrate): 48.47%'}
{'EPISODE END | Balance: 234.89| Max DD: 0.239| Trades: 358| Wins: 80| Losses: 99| Effectiveness (winrate): 44.69%'}
{'EPISODE END | Balance: 283.95| Max DD: 0.118| Trades: 354| Wins: 80| Losses: 97| Effectiveness (winrate): 45.20%'}
{'EPISODE END | Balance: 194.48| Max DD: 0.137| Trades: 152| Wins: 27| Losses: 49| Effectiveness (winrate): 35.53%'}
{'EPISODE END | Balance: 312.19| Max DD: 0.175| Trades: 394| Wins: 99| Losses: 98| Effectiveness (winrate): 50.25%'}
{'EPISODE END | Balance: 263.74| Max DD: 0.125| Trades: 306| Wins: 82| Losses: 71| Effectiveness (winrate): 53.59%'}
{'EPISODE END | Balance: 252.76| Max DD: 0.183| Trades: 452| Wins: 103| Losses: 123| Effectiveness (winrate): 45.58%'}
{'EPISODE END | Balance: 267.12| Max DD: 0.123| Trades: 298| Wins: 73| Losses: 76| Effectiveness (winrate): 48.99%'}
{'EPISODE END | Balance: 345.87| Max DD: 0.137| Trades: 508| Wins: 123| Losses: 131| Effectiveness (winrate): 48.43%'}
{'EPISODE END | Balance: 178.41| Max DD: 0.199| Trades: 116| Wins: 23| Losses: 35| Effectiveness (winrate): 39.66%'}
{'EPISODE END | Balance: 283.20| Max DD: 0.094| Trades: 320| Wins: 81| Losses: 79| Effectiveness (winrate): 50.62%'}
{'EPISODE END | Balance: 231.27| Max DD: 0.136| Trades: 300| Wins: 68| Losses: 82| Effectiveness (winrate): 45.33%'}
{'EPISODE END | Balance: 244.59| Max DD: 0.212| Trades: 404| Wins: 86| Losses: 116| Effectiveness (winrate): 42.57%'}
{'EPISODE END | Balance: 247.27| Max DD: 0.102| Trades: 178| Wins: 44| Losses: 45| Effectiveness (winrate): 49.44%'}
{'EPISODE END | Balance: 275.34| Max DD: 0.128| Trades: 324| Wins: 89| Losses: 73| Effectiveness (winrate): 54.94%'}
{'EPISODE END | Balance: 694.11| Max DD: 0.154| Trades: 1630| Wins: 398| Losses: 417| Effectiveness (winrate): 48.83%'}
{'EPISODE END | Balance: 234.50| Max DD: 0.244| Trades: 354| Wins: 75| Losses: 102| Effectiveness (winrate): 42.37%'}
{'EPISODE END | Balance: 284.68| Max DD: 0.112| Trades: 434| Wins: 115| Losses: 102| Effectiveness (winrate): 53.00%'}
{'EPISODE END | Balance: 224.71| Max DD: 0.158| Trades: 268| Wins: 61| Losses: 73| Effectiveness (winrate): 45.52%'}
{'EPISODE END | Balance: 202.80| Max DD: 0.164| Trades: 226| Wins: 48| Losses: 65| Effectiveness (winrate): 42.48%'}
{'EPISODE END | Balance: 269.20| Max DD: 0.140| Trades: 298| Wins: 66| Losses: 83| Effectiveness (winrate): 44.30%'}
{'EPISODE END | Balance: 260.69| Max DD: 0.091| Trades: 318| Wins: 80| Losses: 79| Effectiveness (winrate): 50.31%'}
{'EPISODE END | Balance: 260.31| Max DD: 0.086| Trades: 152| Wins: 40| Losses: 36| Effectiveness (winrate): 52.63%'}
{'EPISODE END | Balance: 430.34| Max DD: 0.224| Trades: 846| Wins: 173| Losses: 250| Effectiveness (winrate): 40.90%'}
{'EPISODE END | Balance: 465.16| Max DD: 0.090| Trades: 1054| Wins: 273| Losses: 254| Effectiveness (winrate): 51.80%'}
{'EPISODE END | Balance: 230.75| Max DD: 0.300| Trades: 558| Wins: 125| Losses: 154| Effectiveness (winrate): 44.80%'}
{'EPISODE END | Balance: 276.39| Max DD: 0.160| Trades: 474| Wins: 103| Losses: 134| Effectiveness (winrate): 43.46%'}
{'EPISODE END | Balance: 200.78| Max DD: 0.174| Trades: 166| Wins: 33| Losses: 50| Effectiveness (winrate): 39.76%'}
{'EPISODE END | Balance: 237.51| Max DD: 0.173| Trades: 230| Wins: 54| Losses: 61| Effectiveness (winrate): 46.96%'}
{'EPISODE END | Balance: 302.13| Max DD: 0.147| Trades: 476| Wins: 105| Losses: 133| Effectiveness (winrate): 44.12%'}
{'EPISODE END | Balance: 448.33| Max DD: 0.243| Trades: 984| Wins: 221| Losses: 271| Effectiveness (winrate): 44.92%'}
{'EPISODE END | Balance: 229.98| Max DD: 0.114| Trades: 312| Wins: 77| Losses: 79| Effectiveness (winrate): 49.36%'}
{'EPISODE END | Balance: 237.27| Max DD: 0.231| Trades: 378| Wins: 85| Losses: 104| Effectiveness (winrate): 44.97%'}
{'EPISODE END | Balance: 196.77| Max DD: 0.172| Trades: 96| Wins: 18| Losses: 30| Effectiveness (winrate): 37.50%'}
{'EPISODE END | Balance: 264.99| Max DD: 0.211| Trades: 454| Wins: 96| Losses: 131| Effectiveness (winrate): 42.29%'}
{'EPISODE END | Balance: 214.69| Max DD: 0.100| Trades: 132| Wins: 35| Losses: 31| Effectiveness (winrate): 53.03%'}
{'EPISODE END | Balance: 237.41| Max DD: 0.066| Trades: 202| Wins: 52| Losses: 49| Effectiveness (winrate): 51.49%'}
{'EPISODE END | Balance: 296.64| Max DD: 0.120| Trades: 330| Wins: 82| Losses: 83| Effectiveness (winrate): 49.70%'}
{'EPISODE END | Balance: 269.25| Max DD: 0.149| Trades: 410| Wins: 94| Losses: 111| Effectiveness (winrate): 45.85%'}
{'EPISODE END | Balance: 258.64| Max DD: 0.067| Trades: 244| Wins: 63| Losses: 59| Effectiveness (winrate): 51.64%'}
{'EPISODE END | Balance: 237.35| Max DD: 0.116| Trades: 170| Wins: 43| Losses: 42| Effectiveness (winrate): 50.59%'}
{'EPISODE END | Balance: 201.77| Max DD: 0.117| Trades: 166| Wins: 40| Losses: 43| Effectiveness (winrate): 48.19%'}
{'EPISODE END | Balance: 323.92| Max DD: 0.163| Trades: 420| Wins: 101| Losses: 109| Effectiveness (winrate): 48.10%'}
{'EPISODE END | Balance: 229.11| Max DD: 0.286| Trades: 570| Wins: 128| Losses: 157| Effectiveness (winrate): 44.91%'}
{'EPISODE END | Balance: 251.44| Max DD: 0.170| Trades: 388| Wins: 83| Losses: 111| Effectiveness (winrate): 42.78%'}
{'EPISODE END | Balance: 378.00| Max DD: 0.078| Trades: 630| Wins: 152| Losses: 163| Effectiveness (winrate): 48.25%'}
{'EPISODE END | Balance: 435.83| Max DD: 0.156| Trades: 758| Wins: 178| Losses: 201| Effectiveness (winrate): 46.97%'}
{'EPISODE END | Balance: 458.96| Max DD: 0.090| Trades: 854| Wins: 215| Losses: 212| Effectiveness (winrate): 50.35%'}
{'EPISODE END | Balance: 195.53| Max DD: 0.148| Trades: 198| Wins: 42| Losses: 57| Effectiveness (winrate): 42.42%'}
{'EPISODE END | Balance: 438.82| Max DD: 0.051| Trades: 556| Wins: 148| Losses: 130| Effectiveness (winrate): 53.24%'}
{'EPISODE END | Balance: 236.66| Max DD: 0.115| Trades: 240| Wins: 55| Losses: 65| Effectiveness (winrate): 45.83%'}
{'EPISODE END | Balance: 638.64| Max DD: 0.225| Trades: 1648| Wins: 420| Losses: 404| Effectiveness (winrate): 50.97%'}
{'EPISODE END | Balance: 257.40| Max DD: 0.113| Trades: 376| Wins: 97| Losses: 91| Effectiveness (winrate): 51.60%'}
{'EPISODE END | Balance: 435.03| Max DD: 0.319| Trades: 916| Wins: 216| Losses: 242| Effectiveness (winrate): 47.16%'}
{'EPISODE END | Balance: 210.57| Max DD: 0.233| Trades: 342| Wins: 72| Losses: 99| Effectiveness (winrate): 42.11%'}
{'EPISODE END | Balance: 155.12| Max DD: 0.279| Trades: 164| Wins: 30| Losses: 52| Effectiveness (winrate): 36.59%'}
{'EPISODE END | Balance: 190.03| Max DD: 0.227| Trades: 306| Wins: 72| Losses: 81| Effectiveness (winrate): 47.06%'}
{'EPISODE END | Balance: 288.40| Max DD: 0.245| Trades: 490| Wins: 102| Losses: 143| Effectiveness (winrate): 41.63%'}
{'EPISODE END | Balance: 286.45| Max DD: 0.122| Trades: 364| Wins: 95| Losses: 87| Effectiveness (winrate): 52.20%'}
{'EPISODE END | Balance: 217.46| Max DD: 0.169| Trades: 196| Wins: 46| Losses: 52| Effectiveness (winrate): 46.94%'}
{'EPISODE END | Balance: 202.54| Max DD: 0.155| Trades: 194| Wins: 39| Losses: 58| Effectiveness (winrate): 40.21%'}
{'EPISODE END | Balance: 208.93| Max DD: 0.151| Trades: 202| Wins: 45| Losses: 56| Effectiveness (winrate): 44.55%'}
{'EPISODE END | Balance: 698.84| Max DD: 0.153| Trades: 1698| Wins: 415| Losses: 434| Effectiveness (winrate): 48.88%'}
{'EPISODE END | Balance: 220.53| Max DD: 0.140| Trades: 214| Wins: 52| Losses: 55| Effectiveness (winrate): 48.60%'}
{'EPISODE END | Balance: 208.41| Max DD: 0.147| Trades: 210| Wins: 45| Losses: 60| Effectiveness (winrate): 42.86%'}
{'EPISODE END | Balance: 261.87| Max DD: 0.172| Trades: 284| Wins: 62| Losses: 80| Effectiveness (winrate): 43.66%'}
{'EPISODE END | Balance: 287.24| Max DD: 0.131| Trades: 404| Wins: 95| Losses: 107| Effectiveness (winrate): 47.03%'}
{'EPISODE END | Balance: 210.56| Max DD: 0.126| Trades: 256| Wins: 52| Losses: 76| Effectiveness (winrate): 40.62%'}
{'EPISODE END | Balance: 227.01| Max DD: 0.123| Trades: 244| Wins: 60| Losses: 62| Effectiveness (winrate): 49.18%'}
{'EPISODE END | Balance: 375.40| Max DD: 0.084| Trades: 348| Wins: 90| Losses: 84| Effectiveness (winrate): 51.72%'}
{'EPISODE END | Balance: 207.97| Max DD: 0.099| Trades: 168| Wins: 34| Losses: 50| Effectiveness (winrate): 40.48%'}
{'EPISODE END | Balance: 249.50| Max DD: 0.162| Trades: 236| Wins: 56| Losses: 62| Effectiveness (winrate): 47.46%'}
{'EPISODE END | Balance: 300.84| Max DD: 0.135| Trades: 446| Wins: 102| Losses: 121| Effectiveness (winrate): 45.74%'}
{'EPISODE END | Balance: 281.25| Max DD: 0.078| Trades: 174| Wins: 48| Losses: 39| Effectiveness (winrate): 55.17%'}
{'EPISODE END | Balance: 210.23| Max DD: 0.094| Trades: 168| Wins: 37| Losses: 47| Effectiveness (winrate): 44.05%'}
{'EPISODE END | Balance: 182.03| Max DD: 0.201| Trades: 186| Wins: 38| Losses: 55| Effectiveness (winrate): 40.86%'}
{'EPISODE END | Balance: 177.63| Max DD: 0.163| Trades: 170| Wins: 35| Losses: 50| Effectiveness (winrate): 41.18%'}
{'EPISODE END | Balance: 356.59| Max DD: 0.076| Trades: 426| Wins: 99| Losses: 114| Effectiveness (winrate): 46.48%'}
{'EPISODE END | Balance: 346.42| Max DD: 0.087| Trades: 472| Wins: 130| Losses: 106| Effectiveness (winrate): 55.08%'}
{'EPISODE END | Balance: 223.04| Max DD: 0.100| Trades: 196| Wins: 47| Losses: 51| Effectiveness (winrate): 47.96%'}
{'EPISODE END | Balance: 341.68| Max DD: 0.054| Trades: 350| Wins: 94| Losses: 81| Effectiveness (winrate): 53.71%'}
{'EPISODE END | Balance: 298.31| Max DD: 0.175| Trades: 412| Wins: 103| Losses: 103| Effectiveness (winrate): 50.00%'}
