{'EPISODE END | Balance: 522.64| Max DD: 0.093| Trades: 430| Wins: 144| Losses: 71| Effectiveness (winrate): 66.98%'}
{'EPISODE END | Balance: 438.46| Max DD: 0.068| Trades: 400| Wins: 130| Losses: 70| Effectiveness (winrate): 65.00%'}
{'EPISODE END | Balance: 696.66| Max DD: 0.067| Trades: 516| Wins: 174| Losses: 84| Effectiveness (winrate): 67.44%'}
{'EPISODE END | Balance: 303.73| Max DD: 0.118| Trades: 316| Wins: 91| Losses: 67| Effectiveness (winrate): 57.59%'}
{'EPISODE END | Balance: 1006.36| Max DD: 0.070| Trades: 606| Wins: 211| Losses: 92| Effectiveness (winrate): 69.64%'}
{'EPISODE END | Balance: 371.23| Max DD: 0.101| Trades: 426| Wins: 138| Losses: 75| Effectiveness (winrate): 64.79%'}
{'EPISODE END | Balance: 311.38| Max DD: 0.146| Trades: 324| Wins: 85| Losses: 77| Effectiveness (winrate): 52.47%'}
{'EPISODE END | Balance: 5469.69| Max DD: 0.090| Trades: 554| Wins: 185| Losses: 92| Effectiveness (winrate): 66.79%'}
{'EPISODE END | Balance: 436.84| Max DD: 0.133| Trades: 442| Wins: 118| Losses: 103| Effectiveness (winrate): 53.39%'}
{'EPISODE END | Balance: 426.28| Max DD: 0.122| Trades: 408| Wins: 121| Losses: 83| Effectiveness (winrate): 59.31%'}
{'EPISODE END | Balance: 4035.63| Max DD: 0.194| Trades: 618| Wins: 182| Losses: 127| Effectiveness (winrate): 58.90%'}
{'EPISODE END | Balance: 237.12| Max DD: 0.073| Trades: 236| Wins: 74| Losses: 44| Effectiveness (winrate): 62.71%'}
{'EPISODE END | Balance: 318.44| Max DD: 0.104| Trades: 354| Wins: 105| Losses: 72| Effectiveness (winrate): 59.32%'}
{'EPISODE END | Balance: 485.37| Max DD: 0.100| Trades: 400| Wins: 123| Losses: 77| Effectiveness (winrate): 61.50%'}
{'EPISODE END | Balance: 404.41| Max DD: 0.173| Trades: 432| Wins: 128| Losses: 88| Effectiveness (winrate): 59.26%'}
{'EPISODE END | Balance: 382.15| Max DD: 0.133| Trades: 332| Wins: 95| Losses: 71| Effectiveness (winrate): 57.23%'}
{'EPISODE END | Balance: 343.25| Max DD: 0.140| Trades: 266| Wins: 76| Losses: 57| Effectiveness (winrate): 57.14%'}
{'EPISODE END | Balance: 505.65| Max DD: 0.098| Trades: 400| Wins: 131| Losses: 69| Effectiveness (winrate): 65.50%'}
{'EPISODE END | Balance: 970.81| Max DD: 0.100| Trades: 682| Wins: 234| Losses: 107| Effectiveness (winrate): 68.62%'}
{'EPISODE END | Balance: 5418.82| Max DD: 0.101| Trades: 710| Wins: 257| Losses: 98| Effectiveness (winrate): 72.39%'}
{'EPISODE END | Balance: 451.99| Max DD: 0.090| Trades: 382| Wins: 131| Losses: 60| Effectiveness (winrate): 68.59%'}
{'EPISODE END | Balance: 212.03| Max DD: 0.218| Trades: 290| Wins: 66| Losses: 79| Effectiveness (winrate): 45.52%'}
{'EPISODE END | Balance: 381.01| Max DD: 0.136| Trades: 348| Wins: 102| Losses: 72| Effectiveness (winrate): 58.62%'}
{'EPISODE END | Balance: 279.23| Max DD: 0.069| Trades: 170| Wins: 53| Losses: 32| Effectiveness (winrate): 62.35%'}
{'EPISODE END | Balance: 743.46| Max DD: 0.100| Trades: 534| Wins: 160| Losses: 107| Effectiveness (winrate): 59.93%'}
{'EPISODE END | Balance: 217.46| Max DD: 0.056| Trades: 172| Wins: 49| Losses: 37| Effectiveness (winrate): 56.98%'}
{'EPISODE END | Balance: 235.34| Max DD: 0.096| Trades: 180| Wins: 49| Losses: 41| Effectiveness (winrate): 54.44%'}
{'EPISODE END | Balance: 212.51| Max DD: 0.093| Trades: 142| Wins: 41| Losses: 30| Effectiveness (winrate): 57.75%'}
{'EPISODE END | Balance: 364.39| Max DD: 0.060| Trades: 362| Wins: 123| Losses: 58| Effectiveness (winrate): 67.96%'}
{'EPISODE END | Balance: 550.94| Max DD: 0.085| Trades: 296| Wins: 99| Losses: 49| Effectiveness (winrate): 66.89%'}
{'EPISODE END | Balance: 571.18| Max DD: 0.098| Trades: 298| Wins: 92| Losses: 57| Effectiveness (winrate): 61.74%'}
{'EPISODE END | Balance: 328.34| Max DD: 0.104| Trades: 236| Wins: 65| Losses: 53| Effectiveness (winrate): 55.08%'}
