time/time_elapsed,time/total_timesteps,train/loss,time/episodes,time/fps,train/n_updates,train/learning_rate,rollout/exploration_rate,eval/mean_ep_length,eval/mean_reward
26368,6582631,0.040331026539206505,1160,249,6572628,0.00025,0.05,,
,6600000,0.05228735599666834,,,6589996,0.00025,0.05,10000.0,1170.9331506666667
,6650000,0.0362967811524868,,,6639996,0.00025,0.05,10000.0,2496.9298176666666
26892,6682631,0.06077741924673319,1170,248,6672628,0.00025,0.05,,
,6700000,0.04773755092173815,,,6689996,0.00025,0.05,10000.0,2653.711795
,6750000,0.05154618341475725,,,6739996,0.00025,0.05,10000.0,1660.386572333333
27366,6782631,0.0575955118983984,1180,247,6772628,0.00025,0.05,,
,6800000,0.042719549499452114,,,6789996,0.00025,0.05,10000.0,2349.0197383333334
,6850000,0.06472332403063774,,,6839996,0.00025,0.05,10000.0,2953.6938370000003
27915,6882631,0.06922778114676476,1190,246,6872628,0.00025,0.05,,
,6900000,0.05408634338527918,,,6889996,0.00025,0.05,10000.0,2887.804192333333
,6950000,0.05787812452763319,,,6939996,0.00025,0.05,10000.0,3020.990150333333
28350,6982631,0.0686245933175087,1200,246,6972628,0.00025,0.05,,
,7000000,0.05080088600516319,,,6989996,0.00025,0.05,10000.0,2049.865241
,7050000,0.06628068070858717,,,7039996,0.00025,0.05,10000.0,1609.9672613333332
28781,7082631,0.055825674906373024,1210,246,7072628,0.00025,0.05,,
,7100000,0.06081653758883476,,,7089996,0.00025,0.05,10000.0,2492.886176
,7150000,0.05523232091218233,,,7139996,0.00025,0.05,10000.0,2279.593136
29209,7182631,0.058744064532220364,1220,245,7172628,0.00025,0.05,,
,7200000,0.05416544899344444,,,7189996,0.00025,0.05,10000.0,2481.435887
,7250000,0.047952729277312756,,,7239996,0.00025,0.05,10000.0,2324.2714916666664
29636,7282631,0.05022637825459242,1230,245,7272628,0.00025,0.05,,
,7300000,0.055577789433300495,,,7289996,0.00025,0.05,10000.0,2081.8625033333333
,7350000,0.05240863375365734,,,7339996,0.00025,0.05,10000.0,2147.679858666667
30076,7382631,0.05072044022381306,1240,245,7372628,0.00025,0.05,,
,7400000,0.05675795394927263,,,7389996,0.00025,0.05,10000.0,2106.1531783333335
,7450000,0.05719894357025623,,,7439996,0.00025,0.05,10000.0,1630.7891280000001
30547,7482631,0.07598934601992369,1250,244,7472628,0.00025,0.05,,
